name,last_rs,high_rs,low_rs,last_usd,high_usd,low_usd,chg,chg_perc,vol,time
Walgreens Boots,43.98,224.59706399999996,44.42,226.844056,43.09,220.05201200000002,+0.89,+2.07%,7.11M,09/04
PepsiCo,133.63,682.4216839999999,135.08,689.826544,131.51,671.5952679999999,+1.02,+0.77%,5.50M,09/04
ADP,142.52,727.821136,143.81,734.408908,139.91,714.492388,+3.99,+2.88%,2.68M,09/04
United Airlines Holdings,31.5,160.86419999999998,34.04,173.83547199999998,29.57,151.008076,+3.99,+14.50%,54.12M,09/04
Netflix,370.72,1893.192896,372.1,1900.24028,363.03,1853.921604,-0.40,-0.11%,7.71M,09/04
Cerner,68.38,349.20298399999996,68.83,351.501044,67.07,342.51307599999996,+1.97,+2.97%,2.31M,09/04
Booking,1420.6,7254.720079999999,1450.0,7404.86,1403.0,7164.8404,+48.6,+3.54%,1.03M,09/04
O’Reilly Automotive,342.44,1748.7725919999998,351.96,1797.3893279999998,338.25,1727.3751,+2.41,+0.71%,867.09K,09/04
Seattle Genetics,120.32,614.4501759999999,121.59,620.9358119999999,117.99,602.551332,+0.64,+0.53%,805.92K,09/04
Illumina,287.62,1468.817816,287.76,1469.5327679999998,279.47,1427.197396,+6.63,+2.36%,1.20M,09/04
Maxim,51.79,264.48117199999996,54.43,277.963124,51.31,262.029908,-1.53,-2.87%,2.65M,09/04
Alexion,96.23,491.427364,99.28,507.003104,94.23,481.213764,-2.33,-2.36%,3.28M,09/04
Broadcom,254.3,1298.65924,267.5,1366.069,251.31,1283.3899079999999,-6.80,-2.60%,3.48M,09/04
NXP,89.97,459.45879599999995,96.97,495.206396,89.41,456.59898799999996,-1.61,-1.76%,4.01M,09/04
Tesla,573.0,2926.1964,575.18,2937.3292239999996,557.11,2845.049348,+24.16,+4.40%,13.65M,09/04
Take-Two,119.4,609.75192,121.24,619.148432,118.41,604.696188,+0.30,+0.25%,1.95M,09/04
Dollar Tree,77.56,396.083408,80.72,412.220896,76.97,393.07039599999996,-1.66,-2.10%,2.50M,09/04
Align,193.19,986.582692,197.99,1011.095332,181.86,928.722648,+8.78,+4.76%,1.77M,09/04
ANSYS,237.92,1215.009856,244.23,1247.2337639999998,234.59,1198.004212,-6.45,-2.64%,821.19K,09/04
Biomarin Pharma,79.55,406.24593999999996,81.19,414.621092,78.77,402.262636,-0.05,-0.06%,1.33M,09/04
Charter Communications,466.64,2383.037152,476.15,2431.6028199999996,456.19,2329.671092,+2.71,+0.58%,1.63M,09/04
CoStar,631.28,3223.8207039999998,639.74,3267.0242319999998,607.38,3101.768184,+16.67,+2.71%,370.99K,09/04
IDEXX Labs,258.58,1320.516344,261.06,1333.181208,252.87,1291.356516,+3.85,+1.51%,633.27K,09/04
Incyte,86.81,443.321308,87.99,449.34733199999994,85.17,434.946156,-0.94,-1.07%,1.81M,09/04
Liberty Global C,17.39,88.807252,18.07,92.279876,17.14,87.530552,+0.09,+0.52%,5.04M,09/04
MercadoLibre,533.28,2723.354304,557.85,2848.82838,527.08,2691.692144,-10.72,-1.97%,497.03K,09/04
T-Mobile US,85.9,438.67412,87.75,448.1217,84.93,433.720524,-0.95,-1.09%,5.77M,09/04
Facebook,175.19,894.6602919999999,177.08,904.312144,171.57,876.1736759999999,+0.91,+0.52%,23.53M,09/04
Willis Towers Watson,196.02,1001.034936,196.85,1005.2735799999999,189.18,966.104424,+5.97,+3.14%,824.08K,09/04
Splunk,123.13,628.8002839999999,128.4,655.71312,120.58,615.7779439999999,-1.92,-1.54%,2.30M,09/04
Workday,145.41,742.579788,148.85,760.1471799999999,143.0,730.2724,+3.30,+2.32%,2.96M,09/04
Mondelez,52.34,267.289912,53.6,273.72447999999997,51.7,264.02156,+0.55,+1.06%,7.99M,09/04
Skyworks,89.95,459.35666,95.3,486.67803999999995,88.79,453.432772,-3.05,-3.28%,2.80M,09/04
Lululemon Athletica,203.51,1039.284868,206.0,1052.0008,198.48,1013.5976639999999,+7.50,+3.83%,1.90M,09/04
Regeneron Pharma,512.96,2619.584128,515.64,2633.270352,500.87,2557.842916,+0.63,+0.12%,1.01M,09/04
ASML  ADR,276.81,1413.613308,285.13,1456.101884,275.12,1404.982816,-1.77,-0.64%,728.87K,09/04
Copart,74.99,382.95893199999995,77.11,393.785348,73.46,375.14552799999996,+3.01,+4.18%,1.96M,09/04
Synopsys,136.58,697.486744,141.03,720.212004,136.1,695.0354799999999,-2.27,-1.63%,1.10M,09/04
Ulta Beauty,202.48,1034.024864,215.55,1100.77074,199.01,1016.3042679999999,+1.91,+0.95%,1.47M,09/04
Verisk,148.26,757.1341679999999,152.64,779.5019519999998,147.23,751.874164,-0.44,-0.30%,1.08M,09/04
CDW Corp,106.26,542.648568,107.81,550.564108,103.28,527.430304,+3.99,+3.90%,1.32M,09/04
American Airlines,12.51,63.886067999999995,13.4,68.43111999999999,11.82,60.362376,+1.18,+10.41%,117.59M,09/04
Alphabet C,1211.45,6186.63286,1225.57,6258.740876,1196.74,6111.511832,+1.17,+0.10%,2.18M,09/04
JD.com Inc Adr,42.16,215.30268799999996,43.15,220.35842,41.51,211.98326799999998,+0.99,+2.40%,14.81M,09/04
PayPal Holdings Inc,105.84,540.503712,108.7,555.10916,104.78,535.090504,+0.78,+0.74%,10.89M,09/04
Fox Corp A,25.99,132.725732,27.08,138.29214399999998,25.6,130.73408,-0.31,-1.18%,5.18M,09/04
Fox Corp B,25.64,130.938352,26.56,135.636608,25.17,128.53815600000001,-0.18,-0.70%,1.60M,09/04
